,tourney_id,match_num,minutes,score,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
110457,2000-717,1,162,3-6 7-6(6) 7-6(4),8,1,126,76,56,29,16,14,15,13,4,110,59,49,31,17,4,4
110458,2000-717,2,86,6-2 7-5,4,2,67,35,25,16,10,4,6,0,0,57,24,13,17,10,4,9
110459,2000-717,3,64,6-1 6-3,4,1,46,29,23,11,8,0,0,2,2,65,39,22,10,8,6,10
110460,2000-717,4,150,4-6 6-2 7-5,8,6,109,56,43,21,15,9,12,4,6,104,57,35,24,15,6,11
110461,2000-717,5,60,6-1 6-4,3,0,50,27,22,16,9,1,1,0,3,47,28,17,10,8,3,6
110462,2000-717,6,115,6-7(2) 6-4 6-3,9,4,95,60,43,26,16,5,6,11,8,94,48,31,29,15,6,9
110463,2000-717,7,171,6-7(7) 7-6(2) 7-6(3),4,11,148,65,54,43,18,9,12,5,5,126,70,45,36,18,3,6
110464,2000-717,8,66,6-2 6-1,1,1,42,23,19,13,8,0,0,0,0,42,25,9,10,7,3,7
110465,2000-717,9,63,6-2 6-3,2,2,49,30,26,10,9,3,4,2,3,47,25,13,10,8,3,7
110466,2000-717,10,123,6-1 3-6 7-6(4),7,2,83,55,42,14,14,3,6,3,2,102,62,43,14,14,9,13
110467,2000-717,11,76,6-4 6-2,1,4,56,36,26,11,9,2,3,2,1,52,27,16,12,9,0,4
110468,2000-717,12,69,6-3 6-2,1,3,56,26,20,18,9,3,4,2,2,52,35,18,8,8,3,7
110469,2000-717,13,98,6-3 7-5,4,1,69,50,37,9,11,4,5,3,5,74,32,23,18,10,7,10
110470,2000-717,14,149,4-6 6-4 6-4,7,0,98,67,48,14,15,7,10,4,0,96,67,43,13,15,7,11
110471,2000-717,15,52,6-3 6-2,0,0,43,37,29,4,8,3,3,3,5,52,30,21,5,9,1,5
110472,2000-717,16,144,5-7 7-5 6-4,5,3,106,66,52,17,17,1,4,15,5,112,59,47,22,17,8,12
110473,2000-717,17,112,7-5 7-6(4),3,7,74,39,29,18,12,3,6,3,1,93,59,34,17,12,6,10
110474,2000-717,18,76,7-5 6-3,2,4,59,33,23,15,10,2,3,8,3,64,40,28,10,11,4,8
110475,2000-717,19,151,7-6(6) 4-6 6-4,3,2,110,66,49,20,16,5,8,13,3,113,66,50,22,16,9,12
110476,2000-717,20,68,6-2 6-4,9,1,43,25,20,10,9,0,2,1,3,57,39,21,6,9,1,6
110477,2000-717,21,72,6-4 6-2,7,0,48,34,28,9,9,0,0,3,3,63,38,24,12,9,5,8
110478,2000-717,22,135,6-7(4) 6-2 6-0,5,1,80,39,33,27,13,3,3,1,2,94,68,39,14,13,8,13
110479,2000-717,23,136,3-6 7-5 6-3,12,4,92,59,47,12,15,2,4,7,2,96,64,44,16,15,7,10
110480,2000-717,24,83,7-5 6-4,7,0,63,39,26,15,11,2,4,2,3,73,35,23,17,11,5,9
110481,2000-717,25,67,6-3 6-3,4,4,52,36,27,9,9,4,5,5,3,58,33,22,9,9,2,6
110482,2000-717,26,85,6-3 7-5,13,2,65,37,34,12,11,2,3,0,3,62,35,23,12,10,0,3
110483,2000-717,27,120,2-6 6-2 6-2,1,1,73,43,31,17,12,4,6,2,1,76,38,27,15,12,2,6
110484,2000-717,28,92,7-5 6-4,5,0,56,33,26,14,11,0,2,1,2,72,49,30,10,11,6,10
110485,2000-717,29,115,6-0 3-6 7-5,5,7,78,40,32,22,13,4,5,6,9,100,64,43,15,14,4,8
110486,2000-717,30,91,6-4 6-4,4,1,53,28,22,10,10,0,3,4,1,62,34,16,16,10,3,8
110487,2000-717,31,78,6-2 6-3,7,8,56,29,25,12,8,0,0,5,3,57,36,21,8,9,6,10
110488,2000-409,1,71,6-3 6-4,3,4,53,31,23,9,9,1,3,3,4,73,37,21,15,10,7,12
110489,2000-409,2,93,7-5 6-4,5,1,70,35,25,17,11,5,7,4,3,77,45,30,12,11,6,10
110490,2000-409,3,54,6-2 6-1,0,0,39,14,11,19,7,3,3,2,9,57,28,17,9,8,6,11
110491,2000-409,4,49,6-2 6-1,6,1,58,31,25,12,8,5,6,1,3,35,21,8,5,7,3,8
110492,2000-409,5,79,6-1 6-4,4,2,75,46,29,17,9,7,8,2,4,51,34,21,4,8,5,9
110493,2000-409,6,59,6-1 6-1,4,0,38,18,15,14,7,0,0,0,4,48,20,11,10,7,10,15
110494,2000-409,7,67,6-4 6-1,3,1,40,19,17,14,8,2,3,2,0,53,29,13,12,9,4,9
110495,2000-409,8,65,6-0 6-2,2,0,47,36,26,7,7,2,2,1,1,54,32,17,6,7,2,7
110496,2000-409,9,90,6-3 7-5,8,2,57,34,27,8,11,4,7,7,7,81,40,25,16,10,9,14
110497,2000-409,10,93,7-6(3) 6-4,2,4,71,50,34,11,11,4,7,1,2,68,53,32,6,11,4,8
110498,2000-409,11,98,4-6 6-0 6-3,3,1,87,53,36,18,13,5,7,3,2,65,39,22,12,12,1,6
110499,2000-409,12,88,7-5 6-3,1,4,69,35,27,21,11,2,2,2,2,57,28,20,17,10,2,4
110500,2000-409,13,76,6-4 6-2,7,3,61,28,24,16,9,0,1,1,3,67,42,26,10,9,7,11
110501,2000-409,14,136,5-7 6-2 6-4,4,1,95,47,31,25,15,6,10,4,7,108,71,42,16,15,11,17
110502,2000-409,15,111,3-6 6-4 6-4,4,5,100,65,44,14,15,10,15,6,5,96,56,31,21,14,8,13
110503,2000-409,16,64,7-5 6-0,6,0,62,44,29,8,9,8,10,2,2,61,31,16,11,9,1,7
110504,2000-409,17,42,6-4 RET,2,0,25,13,9,6,5,3,5,2,2,43,29,18,2,6,5,8
110505,2000-409,18,144,5-7 6-2 7-6(4),7,7,122,71,44,27,16,7,12,3,4,124,89,52,17,16,9,15
110506,2000-409,19,105,3-6 6-4 6-4,4,3,89,60,45,14,15,5,7,2,0,88,67,48,10,14,4,6
110507,2000-409,20,68,6-2 6-3,4,0,47,25,20,14,8,0,0,3,4,51,33,22,6,9,1,5
110508,2000-409,21,93,4-6 6-2 6-2,3,5,67,49,39,7,13,0,2,2,1,70,45,25,11,13,1,6
110509,2000-409,22,148,7-5 6-7(3) 6-3,1,1,105,52,36,26,16,3,7,5,5,108,77,48,15,17,6,13
110510,2000-409,23,83,6-3 7-5,4,5,61,22,19,19,11,2,5,2,1,65,29,19,15,10,5,10
110511,2000-409,24,100,6-2 3-6 6-3,2,3,68,39,25,15,13,4,9,3,1,89,50,23,21,13,8,15
110512,2000-409,25,71,7-6(3) 6-2,5,6,59,33,25,14,10,1,3,5,4,75,42,27,14,10,7,11
110513,2000-409,26,56,6-1 6-2,8,0,45,29,25,10,8,2,2,2,1,41,22,13,9,7,2,6
110514,2000-409,27,96,7-6(4) 6-1,3,3,55,29,21,17,9,1,2,1,5,80,49,32,9,10,9,13
110515,2000-409,28,93,7-6(3) 6-4,5,5,84,40,32,25,11,4,5,6,6,86,57,39,10,11,4,6
110516,2000-409,29,62,6-2 6-4,7,2,50,28,23,15,9,2,2,2,2,59,35,22,13,9,5,8
110517,2000-409,30,105,6-3 1-6 6-2,4,5,77,35,24,25,12,3,5,4,2,89,43,32,21,12,6,9
110518,2000-409,31,92,6-3 7-5,2,2,78,39,28,20,11,5,7,4,2,71,36,19,18,10,7,11
110519,2000-408,1,62,6-3 6-4,2,2,65,32,21,20,10,5,7,10,1,55,32,22,7,9,1,5
110520,2000-408,2,69,6-3 6-2,1,3,48,21,13,17,9,1,4,7,0,52,20,12,10,8,3,9
110521,2000-408,3,106,4-6 6-2 6-4,3,1,75,44,33,15,14,2,6,12,5,97,36,27,26,14,5,11
110522,2000-408,4,71,6-4 7-5,3,2,66,39,35,13,11,1,1,9,1,59,41,30,11,11,3,5
110523,2000-408,5,120,7-6(3) 7-5,4,3,105,56,38,29,12,6,6,9,3,68,31,26,23,12,1,2
110524,2000-408,6,81,6-4 6-4,2,1,64,27,19,23,10,4,5,6,2,55,30,21,14,10,2,5
110525,2000-408,7,68,6-2 6-2,4,3,48,22,18,17,8,3,3,2,4,55,24,15,13,8,4,8
110526,2000-408,8,68,6-3 6-4,12,2,52,30,26,10,10,0,2,2,3,53,32,18,9,9,1,5
110527,2000-408,9,108,7-5 7-6(5),10,3,75,38,30,22,12,2,3,5,6,85,54,40,17,12,4,6
110528,2000-408,10,80,7-5 6-4,3,2,59,29,21,24,11,0,0,4,3,63,30,22,21,11,2,4
110529,2000-408,11,86,7-5 6-3,9,9,85,49,37,18,11,9,10,1,2,74,52,34,8,10,6,9
110530,2000-408,12,66,6-1 6-4,8,7,65,28,26,19,9,6,6,5,4,49,28,19,8,8,2,5
110531,2000-408,13,58,6-4 6-3,7,3,48,14,14,26,10,0,0,5,4,58,29,24,13,9,4,6
110532,2000-408,14,76,6-4 6-4,7,6,57,30,25,17,10,2,3,5,1,56,27,20,14,10,1,4
110533,2000-408,15,67,7-5 6-2,12,5,60,26,23,19,10,3,4,2,4,56,30,19,11,10,3,7
110534,2000-408,16,62,6-2 6-3,6,1,56,33,26,12,8,5,5,2,2,49,23,13,13,9,2,6
110535,2000-408,17,82,6-2 7-5,7,4,79,48,34,15,10,6,7,5,3,58,21,14,18,10,1,5
110536,2000-408,18,66,6-4 6-2,3,3,57,22,18,19,9,4,5,5,4,51,25,14,11,9,1,5
110537,2000-408,19,85,6-4 6-1,7,2,64,31,25,18,8,5,5,3,5,69,31,19,16,9,10,14
110538,2000-408,20,101,7-6(5) 7-6(4),7,1,78,44,38,21,12,3,4,6,5,78,38,32,22,12,1,2
110539,2000-408,21,88,6-3 6-4,12,7,64,28,25,18,10,5,6,1,6,69,34,23,15,9,6,9
110540,2000-408,22,113,6-3 3-6 6-4,7,4,94,53,36,22,14,7,11,6,5,88,43,31,21,14,7,12
110541,2000-408,23,92,6-3 7-6(8),5,9,68,31,27,19,10,1,2,2,7,74,28,18,25,11,4,7
110542,2000-408,24,65,7-5 6-3,6,1,63,44,31,11,10,0,1,11,5,60,27,22,12,11,3,7
110543,2000-408,25,61,6-3 6-2,2,0,54,31,28,12,9,3,3,5,2,44,19,12,13,8,0,3
110544,2000-408,26,90,6-4 7-5,4,8,68,34,28,19,11,4,5,7,3,71,36,29,14,11,3,6
110545,2000-408,27,157,7-6(3) 4-6 7-6(6),20,7,104,50,45,30,17,4,7,21,15,155,75,64,32,17,15,17
110546,2000-408,28,112,3-6 6-4 6-4,6,7,78,43,38,17,14,3,4,4,3,113,63,48,23,15,9,11
110547,2000-408,29,74,6-3 7-6(4),4,4,61,32,28,20,11,0,0,9,3,68,38,27,17,10,4,5
110548,2000-408,30,102,7-5 1-6 6-3,14,6,84,51,44,13,14,9,11,7,8,85,41,32,24,14,6,8
110549,2000-408,31,80,6-4 6-4,9,4,66,38,31,14,10,4,5,6,6,68,36,26,13,10,5,8
110550,2000-560,1,89,6-4 6-2 6-0,8,4,80,50,37,16,12,2,3,3,8,90,52,30,13,12,5,12
110551,2000-560,2,105,6-3 6-4 6-2,11,5,92,58,44,16,14,2,3,5,4,84,53,34,12,13,7,12
110552,2000-560,3,214,6-3 6-0 4-6 6-7(3) 6-4,15,3,147,87,61,28,24,8,13,7,3,167,95,58,32,23,10,19
110553,2000-560,4,116,6-3 2-6 6-4 6-1,11,3,95,49,39,19,17,5,10,7,7,103,61,41,13,17,5,13
110554,2000-560,5,147,6-4 6-4 4-6 6-3,8,6,118,63,48,30,20,2,5,3,4,131,93,57,19,19,7,12
110555,2000-560,6,89,6-3 6-4 6-3,5,3,74,37,27,26,14,2,4,5,2,83,36,22,24,14,4,10
110556,2000-560,7,87,6-2 6-2 6-2,12,4,61,34,30,17,12,0,1,4,2,77,26,19,17,12,7,14
110557,2000-560,8,136,7-5 6-4 7-6(4),20,4,122,81,66,18,17,3,3,8,2,99,61,41,27,17,3,5
110558,2000-560,9,181,2-6 7-5 6-3 6-3,17,7,125,56,45,30,19,9,14,6,4,124,60,38,31,19,11,18
110559,2000-560,10,126,7-6(3) 6-3 6-0,18,7,84,39,34,23,13,4,6,5,3,110,55,33,22,14,10,17
110560,2000-560,11,106,6-4 6-4 6-4,3,6,99,66,49,17,15,7,8,1,2,83,44,28,23,15,5,9
110561,2000-560,12,123,7-6(7) 6-3 7-5,2,2,101,57,40,30,17,3,5,8,11,124,67,46,27,16,9,13
110562,2000-560,13,188,6-3 7-5 1-6 7-6(6),6,2,119,67,50,33,20,7,10,5,4,132,66,49,33,20,1,4
110563,2000-560,14,89,6-4 6-3 6-3,18,2,78,53,47,14,14,4,4,12,3,88,67,46,8,14,6,10
110564,2000-560,15,74,6-2 6-3 6-0,4,5,57,33,30,14,12,0,1,2,4,67,35,13,17,11,5,12
110565,2000-560,16,118,3-6 6-3 6-2 6-2,11,5,93,46,37,30,17,4,6,6,5,112,62,38,24,17,14,20
110566,2000-560,17,142,7-6(3) 7-5 6-4,22,4,93,62,54,19,17,3,4,14,12,136,67,53,28,17,9,12
110567,2000-560,18,177,3-6 6-3 6-4 7-6(4),35,11,137,71,60,32,20,7,10,3,12,138,71,47,37,20,8,12
110568,2000-560,19,109,7-5 6-4 6-2,11,4,86,53,42,22,15,3,4,6,9,85,41,28,19,15,2,7
110569,2000-560,20,147,7-6(4) 7-6(3) 6-2,9,9,123,74,50,24,16,11,15,4,2,147,92,53,26,16,12,18
110570,2000-560,21,223,6-3 6-1 6-1,7,8,65,38,31,16,11,4,4,3,1,83,35,19,22,12,9,16
110571,2000-560,22,111,7-6(4) 6-2 6-4,9,2,82,52,46,14,15,1,3,8,2,90,60,39,15,15,2,7
110572,2000-560,23,162,6-3 3-6 6-3 7-6(6),11,5,129,66,46,31,20,6,10,10,11,161,100,67,26,19,15,20
110573,2000-560,24,122,6-3 6-3 7-6(5),7,13,96,50,40,25,15,1,3,7,4,109,48,31,28,15,8,13
110574,2000-560,25,105,6-3 6-3 6-4,4,1,78,43,33,24,14,1,2,0,1,84,44,29,17,14,5,10
110575,2000-560,26,95,6-3 6-4 6-1,7,10,80,48,35,14,13,3,6,0,2,74,45,24,8,13,5,13
110576,2000-560,27,138,6-7(1) 6-1 6-1 6-4,25,5,104,60,52,25,18,1,1,3,6,129,71,44,29,18,10,16
110577,2000-560,28,165,3-6 6-4 6-1 7-6(4),3,1,121,68,46,26,19,7,13,3,9,132,57,37,34,19,6,14
