waste,tourney_id,tourney_name,surface,tourney_level,draw_size,tourney_date,best_of
110457,2000-717,Orlando,Clay,A,32,20000501,3
110458,2000-717,Orlando,Clay,A,32,20000501,3
110459,2000-717,Orlando,Clay,A,32,20000501,3
110460,2000-717,Orlando,Clay,A,32,20000501,3
110461,2000-717,Orlando,Clay,A,32,20000501,3
110462,2000-717,Orlando,Clay,A,32,20000501,3
110463,2000-717,Orlando,Clay,A,32,20000501,3
110464,2000-717,Orlando,Clay,A,32,20000501,3
110465,2000-717,Orlando,Clay,A,32,20000501,3
110466,2000-717,Orlando,Clay,A,32,20000501,3
110467,2000-717,Orlando,Clay,A,32,20000501,3
110468,2000-717,Orlando,Clay,A,32,20000501,3
110469,2000-717,Orlando,Clay,A,32,20000501,3
110470,2000-717,Orlando,Clay,A,32,20000501,3
110471,2000-717,Orlando,Clay,A,32,20000501,3
110472,2000-717,Orlando,Clay,A,32,20000501,3
110473,2000-717,Orlando,Clay,A,32,20000501,3
110474,2000-717,Orlando,Clay,A,32,20000501,3
110475,2000-717,Orlando,Clay,A,32,20000501,3
110476,2000-717,Orlando,Clay,A,32,20000501,3
110477,2000-717,Orlando,Clay,A,32,20000501,3
110478,2000-717,Orlando,Clay,A,32,20000501,3
110479,2000-717,Orlando,Clay,A,32,20000501,3
110480,2000-717,Orlando,Clay,A,32,20000501,3
110481,2000-717,Orlando,Clay,A,32,20000501,3
110482,2000-717,Orlando,Clay,A,32,20000501,3
110483,2000-717,Orlando,Clay,A,32,20000501,3
110484,2000-717,Orlando,Clay,A,32,20000501,3
110485,2000-717,Orlando,Clay,A,32,20000501,3
110486,2000-717,Orlando,Clay,A,32,20000501,3
110487,2000-717,Orlando,Clay,A,32,20000501,3
110488,2000-409,Atlanta,Clay,A,32,20000410,3
110489,2000-409,Atlanta,Clay,A,32,20000410,3
110490,2000-409,Atlanta,Clay,A,32,20000410,3
110491,2000-409,Atlanta,Clay,A,32,20000410,3
110492,2000-409,Atlanta,Clay,A,32,20000410,3
110493,2000-409,Atlanta,Clay,A,32,20000410,3
110494,2000-409,Atlanta,Clay,A,32,20000410,3
110495,2000-409,Atlanta,Clay,A,32,20000410,3
110496,2000-409,Atlanta,Clay,A,32,20000410,3
110497,2000-409,Atlanta,Clay,A,32,20000410,3
110498,2000-409,Atlanta,Clay,A,32,20000410,3
110499,2000-409,Atlanta,Clay,A,32,20000410,3
110500,2000-409,Atlanta,Clay,A,32,20000410,3
110501,2000-409,Atlanta,Clay,A,32,20000410,3
110502,2000-409,Atlanta,Clay,A,32,20000410,3
110503,2000-409,Atlanta,Clay,A,32,20000410,3
110504,2000-409,Atlanta,Clay,A,32,20000410,3
110505,2000-409,Atlanta,Clay,A,32,20000410,3
110506,2000-409,Atlanta,Clay,A,32,20000410,3
110507,2000-409,Atlanta,Clay,A,32,20000410,3
110508,2000-409,Atlanta,Clay,A,32,20000410,3
110509,2000-409,Atlanta,Clay,A,32,20000410,3
110510,2000-409,Atlanta,Clay,A,32,20000410,3
110511,2000-409,Atlanta,Clay,A,32,20000410,3
110512,2000-409,Atlanta,Clay,A,32,20000410,3
110513,2000-409,Atlanta,Clay,A,32,20000410,3
110514,2000-409,Atlanta,Clay,A,32,20000410,3
110515,2000-409,Atlanta,Clay,A,32,20000410,3
110516,2000-409,Atlanta,Clay,A,32,20000410,3
110517,2000-409,Atlanta,Clay,A,32,20000410,3
110518,2000-409,Atlanta,Clay,A,32,20000410,3
110519,2000-408,London,Hard,A,32,20000221,3
110520,2000-408,London,Hard,A,32,20000221,3
110521,2000-408,London,Hard,A,32,20000221,3
110522,2000-408,London,Hard,A,32,20000221,3
110523,2000-408,London,Hard,A,32,20000221,3
110524,2000-408,London,Hard,A,32,20000221,3
110525,2000-408,London,Hard,A,32,20000221,3
110526,2000-408,London,Hard,A,32,20000221,3
110527,2000-408,London,Hard,A,32,20000221,3
110528,2000-408,London,Hard,A,32,20000221,3
110529,2000-408,London,Hard,A,32,20000221,3
110530,2000-408,London,Hard,A,32,20000221,3
110531,2000-408,London,Hard,A,32,20000221,3
110532,2000-408,London,Hard,A,32,20000221,3
110533,2000-408,London,Hard,A,32,20000221,3
110534,2000-408,London,Hard,A,32,20000221,3
110535,2000-408,London,Hard,A,32,20000221,3
110536,2000-408,London,Hard,A,32,20000221,3
110537,2000-408,London,Hard,A,32,20000221,3
110538,2000-408,London,Hard,A,32,20000221,3
110539,2000-408,London,Hard,A,32,20000221,3
110540,2000-408,London,Hard,A,32,20000221,3
110541,2000-408,London,Hard,A,32,20000221,3
110542,2000-408,London,Hard,A,32,20000221,3
110543,2000-408,London,Hard,A,32,20000221,3
110544,2000-408,London,Hard,A,32,20000221,3
110545,2000-408,London,Hard,A,32,20000221,3
110546,2000-408,London,Hard,A,32,20000221,3
110547,2000-408,London,Hard,A,32,20000221,3
110548,2000-408,London,Hard,A,32,20000221,3
110549,2000-408,London,Hard,A,32,20000221,3
110550,2000-560,US Open,Hard,G,128,20000828,5
110551,2000-560,US Open,Hard,G,128,20000828,5
110552,2000-560,US Open,Hard,G,128,20000828,5
110553,2000-560,US Open,Hard,G,128,20000828,5
110554,2000-560,US Open,Hard,G,128,20000828,5
110555,2000-560,US Open,Hard,G,128,20000828,5
110556,2000-560,US Open,Hard,G,128,20000828,5
110557,2000-560,US Open,Hard,G,128,20000828,5
110558,2000-560,US Open,Hard,G,128,20000828,5
110559,2000-560,US Open,Hard,G,128,20000828,5
110560,2000-560,US Open,Hard,G,128,20000828,5
110561,2000-560,US Open,Hard,G,128,20000828,5
110562,2000-560,US Open,Hard,G,128,20000828,5
110563,2000-560,US Open,Hard,G,128,20000828,5
110564,2000-560,US Open,Hard,G,128,20000828,5
110565,2000-560,US Open,Hard,G,128,20000828,5
110566,2000-560,US Open,Hard,G,128,20000828,5
110567,2000-560,US Open,Hard,G,128,20000828,5
110568,2000-560,US Open,Hard,G,128,20000828,5
110569,2000-560,US Open,Hard,G,128,20000828,5
110570,2000-560,US Open,Hard,G,128,20000828,5
110571,2000-560,US Open,Hard,G,128,20000828,5
110572,2000-560,US Open,Hard,G,128,20000828,5
110573,2000-560,US Open,Hard,G,128,20000828,5
110574,2000-560,US Open,Hard,G,128,20000828,5
110575,2000-560,US Open,Hard,G,128,20000828,5
110576,2000-560,US Open,Hard,G,128,20000828,5
110577,2000-560,US Open,Hard,G,128,20000828,5
110578,2000-560,US Open,Hard,G,128,20000828,5
110579,2000-560,US Open,Hard,G,128,20000828,5
110580,2000-560,US Open,Hard,G,128,20000828,5
110581,2000-560,US Open,Hard,G,128,20000828,5
110582,2000-560,US Open,Hard,G,128,20000828,5
110583,2000-560,US Open,Hard,G,128,20000828,5
110584,2000-560,US Open,Hard,G,128,20000828,5
110585,2000-560,US Open,Hard,G,128,20000828,5
110586,2000-560,US Open,Hard,G,128,20000828,5
110587,2000-560,US Open,Hard,G,128,20000828,5
110588,2000-560,US Open,Hard,G,128,20000828,5
110589,2000-560,US Open,Hard,G,128,20000828,5
110590,2000-560,US Open,Hard,G,128,20000828,5
110591,2000-560,US Open,Hard,G,128,20000828,5
110592,2000-560,US Open,Hard,G,128,20000828,5
110593,2000-560,US Open,Hard,G,128,20000828,5
110594,2000-560,US Open,Hard,G,128,20000828,5
110595,2000-560,US Open,Hard,G,128,20000828,5
110596,2000-560,US Open,Hard,G,128,20000828,5
110597,2000-560,US Open,Hard,G,128,20000828,5
110598,2000-560,US Open,Hard,G,128,20000828,5
110599,2000-560,US Open,Hard,G,128,20000828,5
110600,2000-560,US Open,Hard,G,128,20000828,5
110601,2000-560,US Open,Hard,G,128,20000828,5
110602,2000-560,US Open,Hard,G,128,20000828,5
110603,2000-560,US Open,Hard,G,128,20000828,5
110604,2000-560,US Open,Hard,G,128,20000828,5
110605,2000-560,US Open,Hard,G,128,20000828,5
110606,2000-560,US Open,Hard,G,128,20000828,5
110607,2000-560,US Open,Hard,G,128,20000828,5
110608,2000-560,US Open,Hard,G,128,20000828,5
110609,2000-560,US Open,Hard,G,128,20000828,5
110610,2000-560,US Open,Hard,G,128,20000828,5
110611,2000-560,US Open,Hard,G,128,20000828,5
110612,2000-560,US Open,Hard,G,128,20000828,5
110613,2000-560,US Open,Hard,G,128,20000828,5
110614,2000-560,US Open,Hard,G,128,20000828,5
110615,2000-560,US Open,Hard,G,128,20000828,5
110616,2000-560,US Open,Hard,G,128,20000828,5
110617,2000-560,US Open,Hard,G,128,20000828,5
110618,2000-560,US Open,Hard,G,128,20000828,5
110619,2000-560,US Open,Hard,G,128,20000828,5
110620,2000-560,US Open,Hard,G,128,20000828,5
110621,2000-560,US Open,Hard,G,128,20000828,5
110622,2000-560,US Open,Hard,G,128,20000828,5
110623,2000-560,US Open,Hard,G,128,20000828,5
110624,2000-560,US Open,Hard,G,128,20000828,5
110625,2000-560,US Open,Hard,G,128,20000828,5
110626,2000-560,US Open,Hard,G,128,20000828,5
110627,2000-560,US Open,Hard,G,128,20000828,5
110628,2000-560,US Open,Hard,G,128,20000828,5
110629,2000-560,US Open,Hard,G,128,20000828,5
110630,2000-560,US Open,Hard,G,128,20000828,5
110631,2000-560,US Open,Hard,G,128,20000828,5
110632,2000-560,US Open,Hard,G,128,20000828,5
110633,2000-560,US Open,Hard,G,128,20000828,5
110634,2000-560,US Open,Hard,G,128,20000828,5
110635,2000-560,US Open,Hard,G,128,20000828,5
110636,2000-560,US Open,Hard,G,128,20000828,5
110637,2000-560,US Open,Hard,G,128,20000828,5
110638,2000-560,US Open,Hard,G,128,20000828,5
110639,2000-560,US Open,Hard,G,128,20000828,5
110640,2000-560,US Open,Hard,G,128,20000828,5
110641,2000-560,US Open,Hard,G,128,20000828,5
110642,2000-560,US Open,Hard,G,128,20000828,5
110643,2000-560,US Open,Hard,G,128,20000828,5
110644,2000-560,US Open,Hard,G,128,20000828,5
110645,2000-560,US Open,Hard,G,128,20000828,5
110646,2000-560,US Open,Hard,G,128,20000828,5
110647,2000-560,US Open,Hard,G,128,20000828,5
110648,2000-560,US Open,Hard,G,128,20000828,5
110649,2000-560,US Open,Hard,G,128,20000828,5
110650,2000-560,US Open,Hard,G,128,20000828,5
110651,2000-560,US Open,Hard,G,128,20000828,5
110652,2000-560,US Open,Hard,G,128,20000828,5
110653,2000-560,US Open,Hard,G,128,20000828,5
110654,2000-560,US Open,Hard,G,128,20000828,5
110655,2000-560,US Open,Hard,G,128,20000828,5
110656,2000-560,US Open,Hard,G,128,20000828,5
110657,2000-560,US Open,Hard,G,128,20000828,5
110658,2000-560,US Open,Hard,G,128,20000828,5
110659,2000-560,US Open,Hard,G,128,20000828,5
110660,2000-560,US Open,Hard,G,128,20000828,5
110661,2000-560,US Open,Hard,G,128,20000828,5
110662,2000-560,US Open,Hard,G,128,20000828,5
110663,2000-560,US Open,Hard,G,128,20000828,5
110664,2000-560,US Open,Hard,G,128,20000828,5
110665,2000-560,US Open,Hard,G,128,20000828,5
110666,2000-560,US Open,Hard,G,128,20000828,5
110667,2000-560,US Open,Hard,G,128,20000828,5
110668,2000-560,US Open,Hard,G,128,20000828,5
110669,2000-560,US Open,Hard,G,128,20000828,5
110670,2000-560,US Open,Hard,G,128,20000828,5
110671,2000-560,US Open,Hard,G,128,20000828,5
110672,2000-560,US Open,Hard,G,128,20000828,5
110673,2000-560,US Open,Hard,G,128,20000828,5
110674,2000-560,US Open,Hard,G,128,20000828,5
110675,2000-560,US Open,Hard,G,128,20000828,5
110676,2000-560,US Open,Hard,G,128,20000828,5
110677,2000-568,St. Petersburg,Hard,A,32,20001106,3
110678,2000-568,St. Petersburg,Hard,A,32,20001106,3
110679,2000-568,St. Petersburg,Hard,A,32,20001106,3
110680,2000-568,St. Petersburg,Hard,A,32,20001106,3
110681,2000-568,St. Petersburg,Hard,A,32,20001106,3
110682,2000-568,St. Petersburg,Hard,A,32,20001106,3
110683,2000-568,St. Petersburg,Hard,A,32,20001106,3
110684,2000-568,St. Petersburg,Hard,A,32,20001106,3
110685,2000-568,St. Petersburg,Hard,A,32,20001106,3
110686,2000-568,St. Petersburg,Hard,A,32,20001106,3
110687,2000-568,St. Petersburg,Hard,A,32,20001106,3
